,Test_loss,Test_Acc,Test_F1,Test_AUROC
0,0.0,0.9402985074626866,0.8599379389188306,0.8464052287581699
1,0.0,0.8731343283582089,0.7623059866962305,0.8160320268131459
2,0.0,0.917910447761194,0.7806547619047619,0.7367408372901343
3,0.0,0.9272388059701493,0.8129144851657941,0.7729727213481055
4,0.0,0.9216417910447762,0.8057635893011217,0.7759364429134469
0,0.0,0.916044776119403,0.8043153523973476,0.7896174514246005
